Index;Lesion;Filename;ROI
421;139;ROI 3 - 2D Ellipse;Max_uptake_circle
422;140;ROI 1 - Free Hand;Norma
423;140;ROI 2 - Sphere;Max_uptake_sphere
424;140;ROI 3 - 2D Ellipse;Max_uptake_circle
425;141;ROI 1 - Free Hand;Norma
426;141;ROI 2 - Sphere;Max_uptake_sphere
427;141;ROI 3 - 2D Ellipse;Max_uptake_circle
428;142;ROI 1 - Free Hand;Norma
429;142;ROI 2 - Sphere;Max_uptake_sphere
430;142;ROI 3 - 2D Ellipse;Max_uptake_circle
431;143;ROI 1 - Free Hand;Norma
432;143;ROI 2 - Sphere;Max_uptake_sphere
433;143;ROI 3 - 2D Ellipse;Max_uptake_circle
434;144;ROI 1 - Free Hand;Norma
435;144;ROI 2 - Sphere;Max_uptake_sphere
436;144;ROI 3 - 2D Ellipse;Max_uptake_circle
437;145;ROI 1 - Free Hand;Norma
438;145;ROI 2 - Sphere;Max_uptake_sphere
439;145;ROI 3 - 2D Ellipse;Max_uptake_circle
440;146;ROI 1 - Free Hand;Norma
441;146;ROI 2 - Sphere;Max_uptake_sphere
442;146;ROI 3 - 2D Ellipse;Max_uptake_circle
443;147;ROI 1 - Free Hand;Norma
444;147;ROI 2 - Sphere;Max_uptake_sphere
445;147;ROI 3 - 2D Ellipse;Max_uptake_circle
446;148;ROI 1 - Free Hand;Norma
447;148;ROI 2 - Sphere;Max_uptake_sphere
448;148;ROI 3 - 2D Ellipse;Max_uptake_circle
449;149;ROI 1 - Free Hand;Norma
450;149;ROI 2 - Sphere;Max_uptake_sphere
451;149;ROI 3 - 2D Ellipse;Max_uptake_circle
2147;715;ROI 1 - Free Hand;Norma
2148;715;ROI 2 - Sphere;Max_uptake_sphere
2149;715;ROI 3 - 2D Ellipse;Max_uptake_circle
2150;716;ROI 1 - Free Hand;Norma
2151;716;ROI 2 - Sphere;Max_uptake_sphere
2152;716;ROI 3 - 2D Ellipse;Max_uptake_circle
2153;717;ROI 1 - Free Hand;Norma
2154;717;ROI 2 - Sphere;Max_uptake_sphere
2155;717;ROI 3 - 2D Ellipse;Max_uptake_circle
2156;718;ROI 1 - Free Hand;Norma
2157;718;ROI 2 - Sphere;Max_uptake_sphere
2158;718;ROI 3 - 2D Ellipse;Max_uptake_circle
2159;719;ROI 1 - Free Hand;Norma
2160;719;ROI 2 - Sphere;Max_uptake_sphere
2161;719;ROI 3 - 2D Ellipse;Max_uptake_circle
2162;720;ROI 1 - Free Hand;Norma
2163;720;ROI 2 - Sphere;Max_uptake_sphere
2164;720;ROI 3 - 2D Ellipse;Max_uptake_circle
2165;721;ROI 1 - Free Hand;Norma
2166;721;ROI 2 - Sphere;Max_uptake_sphere
2167;721;ROI 3 - 2D Ellipse;Max_uptake_circle
2168;722;ROI 1 - Free Hand;Norma
2169;722;ROI 2 - Sphere;Max_uptake_sphere
2170;722;ROI 3 - 2D Ellipse;Max_uptake_circle
2171;723;ROI 1 - Free Hand;Norma
2172;723;ROI 2 - Sphere;Max_uptake_sphere
2173;723;ROI 3 - 2D Ellipse;Max_uptake_circle
2174;724;ROI 1 - Free Hand;Norma
2175;724;ROI 2 - Sphere;Max_uptake_sphere
2176;724;ROI 3 - 2D Ellipse;Max_uptake_circle
2177;725;ROI 1 - Free Hand;Norma
2178;725;ROI 2 - Sphere;Max_uptake_sphere
2179;725;ROI 3 - 2D Ellipse;Max_uptake_circle
2180;726;ROI 1 - Free Hand;Norma
2181;726;ROI 2 - Sphere;Max_uptake_sphere
2182;726;ROI 3 - 2D Ellipse;Max_uptake_circle
2183;727;ROI 1 - Free Hand;Norma
2184;727;ROI 2 - Sphere;Max_uptake_sphere
2185;727;ROI 3 - 2D Ellipse;Max_uptake_circle
2186;728;ROI 1 - Free Hand;Norma
2187;728;ROI 2 - Sphere;Max_uptake_sphere
2188;728;ROI 3 - 2D Ellipse;Max_uptake_circle
2189;729;ROI 1 - Free Hand;Norma
2190;729;ROI 2 - Sphere;Max_uptake_sphere
2191;729;ROI 3 - 2D Ellipse;Max_uptake_circle
2192;730;ROI 1 - Free Hand;Norma
2193;730;ROI 2 - Sphere;Max_uptake_sphere
2194;730;ROI 3 - 2D Ellipse;Max_uptake_circle
2195;731;ROI 1 - Free Hand;Norma
2196;731;ROI 2 - Sphere;Max_uptake_sphere
2197;731;ROI 3 - 2D Ellipse;Max_uptake_circle
2198;732;ROI 1 - Free Hand;Norma
2199;732;ROI 2 - Sphere;Max_uptake_sphere
2200;732;ROI 3 - 2D Ellipse;Max_uptake_circle
2201;733;ROI 1 - Free Hand;Norma
2202;733;ROI 2 - Sphere;Max_uptake_sphere
2203;733;ROI 3 - 2D Ellipse;Max_uptake_circle
2204;734;ROI 1 - Free Hand;Norma
2205;734;ROI 2 - Sphere;Max_uptake_sphere
2206;734;ROI 3 - 2D Ellipse;Max_uptake_circle
2207;735;ROI 1 - Free Hand;Norma
2208;735;ROI 2 - Sphere;Max_uptake_sphere
2209;735;ROI 3 - 2D Ellipse;Max_uptake_circle
2210;736;ROI 1 - Free Hand;Norma
2211;736;ROI 2 - Sphere;Max_uptake_sphere
2212;736;ROI 3 - 2D Ellipse;Max_uptake_circle
2213;737;ROI 1 - Free Hand;Norma
2214;737;ROI 2 - Sphere;Max_uptake_sphere
